L, T, m, χ
10, 2.0, 0.9120360000000004, 0.3850487351999665
10, 2.05, 0.8900480000000003, 0.5778340339512044
10, 2.1, 0.869836, 0.7637701478095313
10, 2.15, 0.8397600000000002, 1.1007898790697612
10, 2.2, 0.8229760000000002, 1.0750737919999929
10, 2.25, 0.761336, 1.719657560177781
10, 2.3, 0.72626, 1.9679622782608654
10, 2.35, 0.6779, 2.3139263829787295
10, 2.4, 0.629296, 2.531312682666672
20, 2.0, 0.9093319999999999, 0.4716267552000053
20, 2.05, 0.8890199999999997, 1.0022360195122773
20, 2.1, 0.8652159999999998, 1.2060844464762752
20, 2.15, 0.8414119999999999, 1.0770504662325828
20, 2.2, 0.793307, 3.1975615910908988
20, 2.25, 0.7339319999999999, 4.4817918890666775
20, 2.3, 0.597031, 9.234900876347822
20, 2.35, 0.501666, 10.252771820255333
20, 2.4, 0.48919699999999994, 8.500640031833337
30, 2.0, 0.9089111111111113, 0.4162308888887356
30, 2.05, 0.8942768888888888, 0.512331956292728
30, 2.1, 0.8682613333333334, 0.9504665613543984
30, 2.15, 0.836352888888889, 1.811916201674318
30, 2.2, 0.791316, 2.8328543417373866
30, 2.25, 0.7045884444444444, 8.406802569797645
30, 2.3, 0.5724133333333333, 16.40490087729471
30, 2.35, 0.4504866666666667, 16.15811638581559
30, 2.4, 0.33038977777777784, 14.462788953407394
40, 2.0, 0.91113225, 0.35346565795002505
40, 2.05, 0.8934715, 0.5209784880000292
40, 2.1, 0.8654400000000001, 1.0853829714284031
40, 2.15, 0.8310554999999998, 2.155821149581659
40, 2.2, 0.7850225000000001, 3.4597773590908756
40, 2.25, 0.6804547500000001, 12.926582943955328
40, 2.3, 0.5573720000000001, 25.67159773286946
40, 2.35, 0.3433385, 30.620629390808514
40, 2.4, 0.26578450000000003, 19.36399303983333
50, 2.0, 0.9117054399999999, 0.3672440230084728
50, 2.05, 0.89322896, 0.518577865022529
50, 2.1, 0.8685785599999999, 0.8270815861030225
50, 2.15, 0.83467904, 1.6861874147423495
50, 2.2, 0.79295152, 3.0136307837381895
50, 2.25, 0.64498608, 41.68875299359288
50, 2.3, 0.51481712, 40.51302507272342
50, 2.35, 0.34937983999999994, 36.11032174635576
50, 2.4, 0.17846031999999998, 17.071932076560003
